timestamp,ambient_light,backscatter,pressure,water_temp,battery,sensor
2023-09-15 04:13:44,9,45802,8411,1793,391,305
2023-09-15 04:18:44,11,45615,8406,1792,393,305
2023-09-15 04:23:44,10,45630,8412,1792,393,305
2023-09-15 04:28:44,10,45785,8410,1793,392,305
2023-09-15 04:33:44,10,45894,8409,1793,391,305
2023-09-15 04:38:44,10,45659,8408,1793,392,305
2023-09-15 04:43:44,10,45662,8410,1794,391,305
2023-09-15 04:48:44,10,45842,8412,1795,392,305
2023-09-15 04:53:44,9,45849,8409,1795,393,305
2023-09-15 04:58:44,10,45667,8408,1795,392,305
2023-09-15 05:03:44,9,45740,8406,1795,392,305
2023-09-15 05:08:44,9,45930,8410,1796,391,305
2023-09-15 05:13:44,10,45619,8411,1796,393,305
2023-09-15 05:18:44,9,46506,8411,1796,391,305
2023-09-15 05:23:44,9,46040,8409,1795,392,305
2023-09-15 05:28:44,9,45739,8405,1795,392,305
2023-09-15 05:33:44,11,45771,8410,1794,392,305
2023-09-15 05:38:44,10,46202,8407,1793,392,305
2023-09-15 05:43:44,14,45914,8411,1792,392,305
2023-09-15 05:48:44,16,45749,8411,1791,392,305
2023-09-15 05:53:44,22,45647,8409,1790,392,305
2023-09-15 05:58:44,30,45810,8413,1787,392,305
2023-09-15 06:03:44,40,45766,8411,1787,392,305
2023-09-15 06:08:44,43,45907,8415,1787,393,305
2023-09-15 06:13:44,52,45786,8411,1787,393,305
2023-09-15 06:18:44,68,46118,8416,1787,393,305
2023-09-15 06:23:44,84,45871,8412,1789,392,305
2023-09-15 06:28:44,124,45917,8413,1790,392,305
2023-09-15 06:33:44,144,45954,8414,1792,392,305
2023-09-15 06:38:44,165,46045,8415,1794,393,305
2023-09-15 06:43:44,190,45903,8411,1795,394,305
2023-09-15 06:48:44,247,45908,8412,1799,391,305
2023-09-15 06:53:44,258,45794,8413,1802,391,305
2023-09-15 06:58:44,156,45848,8415,1804,394,305
2023-09-15 07:03:44,198,45825,8420,1807,394,305
2023-09-15 07:08:44,184,45854,8420,1811,393,305
2023-09-15 07:13:44,233,45899,8421,1812,392,305
2023-09-15 07:18:44,247,45966,8419,1816,393,305
2023-09-15 07:23:44,258,46046,8418,1820,392,305
2023-09-15 07:28:44,279,46074,8417,1824,392,305
2023-09-15 07:33:44,281,45979,8422,1829,392,305
2023-09-15 07:38:44,416,45895,8422,1833,392,305
2023-09-15 07:43:44,432,45911,8421,1837,392,305
2023-09-15 07:48:44,508,46052,8418,1844,392,305
2023-09-15 07:53:44,661,45960,8416,1850,394,305
2023-09-15 07:58:44,589,45928,8422,1862,393,305
2023-09-15 08:03:44,556,45916,8419,1875,392,305
2023-09-15 08:08:44,630,46209,8418,1881,393,305
2023-09-15 08:13:44,613,46159,8415,1885,394,305
2023-09-15 08:18:44,747,45931,8408,1892,393,305
2023-09-15 08:23:44,715,46124,8415,1903,393,305
2023-09-15 08:28:44,803,45850,8412,1911,392,305
2023-09-15 08:33:44,875,45925,8411,1920,393,305
2023-09-15 08:38:44,954,46001,8413,1929,393,305
2023-09-15 08:43:44,860,45954,8413,1937,394,305
2023-09-15 08:48:44,234,46453,8435,1940,392,305
2023-09-15 08:53:44,350,46073,8426,1939,394,305
2023-09-15 08:58:44,460,46035,8426,1939,395,305
2023-09-15 09:03:44,256,46125,8433,1939,393,305
2023-09-15 09:08:44,403,46132,8430,1940,394,305
2023-09-15 09:13:44,609,46093,8430,1943,394,305
2023-09-15 09:18:44,346,46391,8428,1948,393,305
2023-09-15 09:23:44,440,46572,8429,1950,395,305
2023-09-15 09:28:44,544,46161,8426,1952,395,305
2023-09-15 09:33:44,1053,46109,8413,1953,394,305
2023-09-15 09:38:44,999,46237,8410,1971,394,305
2023-09-15 09:43:44,523,46434,8427,1987,394,305
2023-09-15 09:48:44,416,46426,8430,1990,394,305
2023-09-15 09:53:44,500,46237,8425,1989,394,305
2023-09-15 09:58:44,524,46211,8428,1983,394,305
2023-09-15 10:03:44,744,46274,8426,1979,394,305
2023-09-15 10:08:44,811,46321,8429,1979,394,305
2023-09-15 10:13:44,1004,46756,8420,1987,394,305
2023-09-15 10:18:44,733,46327,8421,1995,392,305
2023-09-15 10:23:44,861,46426,8427,2012,393,305
2023-09-15 10:28:44,709,46365,8425,2018,392,305
2023-09-15 10:33:44,800,46312,8426,2020,395,305
2023-09-15 10:38:44,1052,46288,8420,2024,393,305
2023-09-15 10:43:44,574,46585,8428,2024,393,305
2023-09-15 10:48:44,585,46521,8426,2025,393,305
2023-09-15 10:53:44,554,46402,8425,2024,394,305
2023-09-15 10:58:44,715,46618,8426,2021,393,305
2023-09-15 11:03:44,586,46661,8426,2020,393,305
2023-09-15 11:08:44,510,46650,8429,2019,395,305
2023-09-15 11:13:44,637,46710,8426,2017,393,305
2023-09-15 11:18:44,782,46904,8421,2016,394,305
2023-09-15 11:23:44,2770,46581,8399,2017,393,305
2023-09-15 11:28:44,1814,46535,8404,2042,393,305
2023-09-15 11:33:44,785,46522,8421,2061,395,305
2023-09-15 11:38:44,1173,46520,8417,2068,394,305
2023-09-15 11:43:44,720,46757,8416,2089,395,305
2023-09-15 11:48:44,1308,46725,8410,2102,395,305
2023-09-15 11:53:44,1342,46894,8411,2108,394,305
2023-09-15 11:58:44,2331,46682,8394,2112,393,305
2023-09-15 12:03:44,1955,46662,8393,2132,394,305
2023-09-15 12:08:44,2201,46497,8397,2152,394,305
2023-09-15 12:13:44,2468,46425,8398,2168,393,305
2023-09-15 12:18:44,2486,46753,8396,2183,393,305
2023-09-15 12:23:44,1732,46474,8398,2198,393,305
2023-09-15 12:28:44,2907,46883,8388,2207,393,305
2023-09-15 12:33:44,2043,46676,8402,2218,394,305
2023-09-15 12:38:44,2298,46816,8395,2228,394,305
2023-09-15 12:43:44,2140,46560,8397,2235,394,305
2023-09-15 12:48:44,3337,46556,8383,2243,396,305
2023-09-15 12:53:44,2572,46622,8388,2254,393,305
2023-09-15 12:58:44,3218,46612,8389,2263,393,305
2023-09-15 13:03:44,2532,46828,8390,2271,396,305
2023-09-15 13:08:44,4056,46866,8383,2278,393,305
2023-09-15 13:13:44,3738,46930,8386,2284,392,305
2023-09-15 13:18:44,3065,46796,8380,2291,393,305
2023-09-15 13:23:44,2689,46959,8390,2294,395,305
2023-09-15 13:28:44,3006,47063,8385,2289,393,305
2023-09-15 13:33:44,3752,46951,8375,2289,393,305
2023-09-15 13:38:44,2323,47189,8393,2293,393,305
2023-09-15 13:43:44,3401,46829,8388,2288,393,305
2023-09-15 13:48:44,1162,46897,8404,2275,394,305
2023-09-15 13:53:44,3849,47074,8382,2262,394,305
2023-09-15 13:58:44,2424,47161,8389,2262,394,305
2023-09-15 14:03:44,2817,47083,8391,2270,393,305
2023-09-15 14:08:44,2387,47209,8386,2274,394,305
2023-09-15 14:13:44,499,47404,8404,2273,395,305
2023-09-15 14:18:44,2717,47233,8385,2277,393,305
2023-09-15 14:23:44,2473,47428,8375,2286,394,305
2023-09-15 14:28:44,2547,47173,8382,2285,394,305
2023-09-15 14:33:44,2799,47478,8377,2286,394,305
2023-09-15 14:38:44,3303,47292,8375,2288,395,305
2023-09-15 14:43:44,2501,47322,8377,2284,395,305
2023-09-15 14:48:44,652,47324,8391,2283,395,305
2023-09-15 14:53:44,2882,47637,8373,2270,396,305
2023-09-15 14:58:44,2402,47492,8376,2268,395,305
2023-09-15 15:03:44,2584,47494,8372,2268,395,305
2023-09-15 15:08:44,2351,47454,8372,2267,393,305
2023-09-15 15:13:44,2723,47380,8370,2265,395,305
2023-09-15 15:18:44,2148,47618,8370,2261,394,305
2023-09-15 15:23:44,2243,47566,8370,2257,395,305
2023-09-15 15:28:44,2267,47612,8374,2254,395,305
2023-09-15 15:33:44,1447,47755,8374,2251,395,305
2023-09-15 15:38:44,342,47675,8392,2246,395,305
2023-09-15 15:43:44,2062,47762,8373,2237,395,305
2023-09-15 15:48:44,1815,47966,8379,2234,395,305
2023-09-15 15:53:44,670,47825,8390,2237,395,305
2023-09-15 15:58:44,1657,48088,8379,2229,395,305
2023-09-15 16:03:44,1496,48049,8377,2223,395,305
2023-09-15 16:08:44,1589,48099,8382,2218,395,305
2023-09-15 16:13:44,1136,48318,8379,2212,395,305
2023-09-15 16:18:44,1351,48134,8384,2204,395,305
2023-09-15 16:23:44,1470,48406,8381,2196,394,305
2023-09-15 16:28:44,1058,48084,8384,2190,396,305
2023-09-15 16:33:44,665,48216,8388,2182,394,305
2023-09-15 16:38:44,248,48120,8389,2171,394,305
2023-09-15 16:43:44,199,48487,8391,2159,394,305
2023-09-15 16:48:44,205,48354,8392,2145,394,305
2023-09-15 16:53:44,210,48340,8394,2131,395,305
2023-09-15 16:58:44,224,48507,8396,2120,397,305
2023-09-15 17:03:44,204,48760,8394,2109,397,305
2023-09-15 17:08:44,174,48659,8394,2098,395,305
2023-09-15 17:13:44,168,48695,8392,2087,395,305
2023-09-15 17:18:44,223,48578,8393,2075,395,305
2023-09-15 17:23:44,200,48563,8396,2065,395,305
2023-09-15 17:28:44,142,48747,8393,2055,395,305
2023-09-15 17:33:44,131,48737,8388,2045,395,305
2023-09-15 17:38:44,136,48661,8396,2037,395,305
2023-09-15 17:43:44,111,48951,8393,2028,395,305
2023-09-15 17:48:44,102,48759,8396,2020,395,305
2023-09-15 17:53:44,87,48767,8395,2012,395,305
2023-09-15 17:58:44,68,48938,8395,2004,395,305
2023-09-15 18:03:44,33,48671,8395,1999,396,305
2023-09-15 18:08:44,17,48754,8395,1991,395,305
2023-09-15 18:13:44,14,48969,8399,1983,395,305
2023-09-15 18:18:44,13,49043,8398,1975,395,305
2023-09-15 18:23:44,11,49069,8403,1968,395,305
2023-09-15 18:28:44,11,49113,8400,1961,395,305
2023-09-15 18:33:44,12,48793,8399,1954,396,305
2023-09-15 18:38:44,11,48813,8401,1948,394,305
2023-09-15 18:43:44,11,48847,8402,1942,395,305
2023-09-15 18:48:44,11,48971,8402,1936,395,305
2023-09-15 18:53:44,11,48866,8402,1931,397,305
2023-09-15 18:58:44,11,48896,8401,1926,394,305
2023-09-15 19:03:44,11,49036,8401,1920,395,305
2023-09-15 19:08:44,10,48937,8405,1917,394,305
2023-09-15 19:13:44,10,49113,8407,1912,394,305
2023-09-15 19:18:44,10,48994,8408,1909,396,305
2023-09-15 19:23:44,10,49019,8403,1904,396,305
2023-09-15 19:28:44,11,49069,8408,1902,396,305
2023-09-15 19:33:44,11,49021,8408,1899,396,305
2023-09-15 19:38:44,11,49038,8412,1895,396,305
2023-09-15 19:43:44,10,49197,8416,1892,396,305
2023-09-15 19:48:44,10,48970,8411,1887,396,305
2023-09-15 19:53:44,10,49267,8414,1884,396,305
2023-09-15 19:58:44,11,49264,8417,1881,396,305
2023-09-15 20:03:44,10,49022,8419,1878,394,305
2023-09-15 20:08:44,10,49157,8419,1875,396,305
2023-09-15 20:13:44,10,49001,8417,1871,396,305
2023-09-15 20:18:44,11,48986,8418,1869,396,305
2023-09-15 20:23:44,10,48992,8421,1867,395,305
2023-09-15 20:28:44,10,49098,8423,1865,395,305
2023-09-15 20:33:44,11,49127,8421,1862,395,305
2023-09-15 20:38:44,10,49244,8422,1862,394,305
2023-09-15 20:43:44,10,49039,8420,1860,394,305
2023-09-15 20:48:44,11,49028,8424,1858,396,305
2023-09-15 20:53:44,10,49110,8424,1857,395,305
2023-09-15 20:58:44,9,49242,8423,1854,395,305
2023-09-15 21:03:44,9,49104,8424,1853,396,305
2023-09-15 21:08:44,10,49235,8425,1852,394,305
2023-09-15 21:13:44,10,49247,8426,1850,395,305
2023-09-15 21:18:44,10,49077,8422,1849,396,305
2023-09-15 21:23:44,10,49117,8424,1848,396,305
2023-09-15 21:28:44,10,49156,8421,1845,395,305
2023-09-15 21:33:44,10,49221,8426,1845,396,305
2023-09-15 21:38:44,10,49299,8426,1844,396,305
2023-09-15 21:43:44,11,49278,8428,1843,396,305
2023-09-15 21:48:44,9,49121,8427,1843,396,305
2023-09-15 21:53:44,9,49171,8424,1844,396,305
2023-09-15 21:58:44,10,49452,8428,1844,395,305
2023-09-15 22:03:44,10,49155,8427,1844,396,305
2023-09-15 22:08:44,10,49221,8425,1843,397,305
2023-09-15 22:13:44,10,49194,8423,1843,395,305
2023-09-15 22:18:44,10,49216,8426,1843,397,305
2023-09-15 22:23:44,10,49439,8426,1842,397,305
2023-09-15 22:28:44,10,49458,8424,1841,397,305
2023-09-15 22:33:44,10,49321,8425,1841,397,305
2023-09-15 22:38:44,11,49384,8425,1839,394,305
2023-09-15 22:43:44,10,49401,8425,1839,394,305
2023-09-15 22:48:44,10,49535,8423,1837,397,305
2023-09-15 22:53:44,11,49516,8423,1836,397,305
2023-09-15 22:58:44,10,49227,8423,1836,395,305
2023-09-15 23:03:44,10,49411,8417,1834,396,305
2023-09-15 23:08:44,9,49398,8421,1833,395,305
2023-09-15 23:13:44,10,49456,8422,1832,395,305
2023-09-15 23:18:44,11,49487,8421,1831,395,305
2023-09-15 23:23:44,11,49629,8424,1829,396,305
2023-09-15 23:28:44,11,49564,8421,1828,395,305
2023-09-15 23:33:44,10,49523,8424,1826,396,305
2023-09-15 23:38:44,10,49452,8423,1824,396,305
2023-09-15 23:43:44,10,49441,8420,1821,395,305
2023-09-15 23:48:44,10,49705,8424,1820,395,305
2023-09-15 23:53:44,10,49481,8425,1819,395,305
2023-09-15 23:58:44,9,49591,8421,1818,395,305
2023-09-16 00:03:44,9,49473,8418,1816,405,305
2023-09-16 00:08:44,10,49483,8420,1815,396,305
2023-09-16 00:13:44,11,49623,8424,1812,395,305
2023-09-16 00:18:44,10,49712,8419,1811,396,305
2023-09-16 00:23:44,10,49537,8422,1809,396,305
2023-09-16 00:28:44,9,49655,8421,1807,395,305
2023-09-16 00:33:44,9,49593,8420,1804,396,305
2023-09-16 00:38:44,10,49519,8421,1803,396,305
2023-09-16 00:43:44,10,49465,8415,1802,395,305
2023-09-16 00:48:44,9,49777,8419,1800,396,305
2023-09-16 00:53:44,10,49566,8417,1799,395,305
2023-09-16 00:58:44,10,49604,8418,1796,395,305
2023-09-16 01:03:44,10,49544,8420,1795,395,305
2023-09-16 01:08:44,10,49604,8420,1794,395,305
2023-09-16 01:13:44,10,49534,8419,1793,396,305
2023-09-16 01:18:44,10,49837,8422,1791,395,305
2023-09-16 01:23:44,9,49791,8417,1790,395,305
2023-09-16 01:28:44,10,49595,8417,1787,395,305
2023-09-16 01:33:44,10,49637,8417,1787,396,305
